Agent_ID,Product_Category,Commission_Percentage
Agent_2136843,Auto & Accessories,59.09
Agent_473746,Fashion,10.58
Agent_2029015,Home & Furniture,29.51
Agent_2135325,Auto & Accessories,89.57
Agent_1909307,Home & Furniture,22.03
Agent_2328784,Electronics,21.26
Agent_1355610,Auto & Accessories,88.82
Agent_1291419,Electronics,14.79
Agent_2052218,Fashion,98.81
Agent_2030460,Auto & Accessories,85.25
Agent_1491217,Auto & Accessories,67.92
Agent_51666,Fashion,38.55
Agent_218366,Fashion,59.65
Agent_853521,Fashion,68.99
Agent_2153557,Auto & Accessories,24.72
Agent_1325978,Auto & Accessories,37.34
Agent_1458637,Electronics,4.18
Agent_869552,Fashion,17.60
Agent_488695,Home & Furniture,53.02
Agent_771794,Home & Furniture,53.60
Agent_1960143,Home & Furniture,69.53
Agent_2206714,Fashion,88.46
Agent_454440,Electronics,97.86
Agent_1623181,Electronics,4.84
Agent_1705500,Fashion,82.77
Agent_1901851,Auto & Accessories,72.79
Agent_1275332,Home & Furniture,42.30
Agent_869617,Home & Furniture,92.22
Agent_265677,Home & Furniture,4.16
Agent_215316,Fashion,83.85
Agent_557658,Fashion,15.42
Agent_92843,Electronics,21.36
Agent_353030,Auto & Accessories,46.97
Agent_2211132,Electronics,57.92
Agent_621494,Home & Furniture,80.77
Agent_2205062,Auto & Accessories,88.84
Agent_604459,Fashion,87.90
Agent_285339,Electronics,15.35
Agent_1979906,Fashion,19.65
Agent_483378,Home & Furniture,6.62
Agent_1696793,Fashion,47.16
Agent_606609,Electronics,36.75
Agent_2362570,Home & Furniture,64.90
Agent_870946,Fashion,26.01
Agent_1114455,Fashion,67.40
Agent_1573597,Home & Furniture,68.49
Agent_1866891,Auto & Accessories,89.15
Agent_2022082,Fashion,85.42
Agent_125251,Fashion,61.97
Agent_1814352,Auto & Accessories,1.89
Agent_173375,Auto & Accessories,88.42
Agent_2116972,Fashion,24.04
Agent_501017,Auto & Accessories,41.78
Agent_558398,Fashion,52.14
Agent_2283293,Auto & Accessories,52.82
Agent_1031086,Electronics,33.45
Agent_1837440,Electronics,3.00
Agent_1593268,Auto & Accessories,30.10
Agent_2125340,Home & Furniture,75.27
Agent_1389119,Home & Furniture,86.21
Agent_499274,Auto & Accessories,75.68
Agent_386275,Electronics,3.83
Agent_510976,Fashion,13.59
Agent_1653101,Home & Furniture,98.92
Agent_1449676,Electronics,64.17
Agent_903995,Fashion,17.75
Agent_1430881,Fashion,34.39
Agent_895731,Auto & Accessories,7.59
Agent_1229831,Fashion,54.54
Agent_1549217,Electronics,32.59
Agent_491585,Fashion,98.18
Agent_2374885,Fashion,17.26
Agent_968409,Home & Furniture,99.90
Agent_1209308,Home & Furniture,50.32
Agent_1744083,Fashion,55.92
Agent_2096751,Fashion,42.42
Agent_1129502,Auto & Accessories,2.36
Agent_1323298,Electronics,38.31
Agent_1112664,Electronics,78.63
Agent_768918,Auto & Accessories,16.49
Agent_2021998,Auto & Accessories,27.69
Agent_877318,Electronics,71.41
Agent_1501433,Electronics,63.77
Agent_1637385,Home & Furniture,95.55
Agent_607162,Fashion,67.37
Agent_19375,Fashion,31.57
Agent_2271278,Auto & Accessories,22.87
Agent_1056653,Auto & Accessories,85.84
Agent_800196,Fashion,93.44
Agent_357516,Electronics,15.57
Agent_1143898,Auto & Accessories,95.95
Agent_825850,Home & Furniture,86.04
Agent_1689897,Auto & Accessories,78.45
Agent_2397222,Fashion,99.17
Agent_1185625,Auto & Accessories,73.54
Agent_1067361,Home & Furniture,21.58
Agent_1700351,Fashion,81.34
Agent_562697,Home & Furniture,6.11
Agent_1493922,Auto & Accessories,3.22
Agent_81629,Fashion,49.48
Agent_1835866,Electronics,80.04
Agent_1511649,Home & Furniture,17.90
Agent_1198089,Auto & Accessories,86.79
Agent_13216,Fashion,50.32
Agent_1053947,Home & Furniture,87.45
Agent_1302959,Auto & Accessories,75.81
Agent_1872982,Auto & Accessories,63.28
Agent_1690574,Home & Furniture,83.21
Agent_103214,Electronics,36.72
Agent_1376022,Home & Furniture,62.21
Agent_1278787,Auto & Accessories,26.23
Agent_2322414,Electronics,54.52
Agent_290724,Electronics,27.90
Agent_843028,Auto & Accessories,74.94
Agent_798204,Electronics,82.15
Agent_251610,Home & Furniture,84.55
Agent_104846,Home & Furniture,70.90
Agent_432274,Fashion,35.29
Agent_683138,Electronics,94.33
Agent_2004122,Auto & Accessories,25.68
Agent_2318121,Fashion,76.41
Agent_1079769,Home & Furniture,2.82
Agent_1496059,Electronics,51.92
Agent_1128603,Fashion,46.44
Agent_1968477,Electronics,14.81
Agent_1281059,Auto & Accessories,86.05
Agent_1483647,Fashion,88.86
Agent_1391865,Electronics,87.47
Agent_1166042,Auto & Accessories,40.48
Agent_2060897,Fashion,35.79
Agent_303894,Electronics,86.95
Agent_1173803,Auto & Accessories,54.18
Agent_2110250,Auto & Accessories,93.77
Agent_1808884,Home & Furniture,91.13
Agent_879403,Auto & Accessories,27.69
Agent_1155458,Auto & Accessories,63.75
Agent_1632799,Electronics,69.81
Agent_1608495,Electronics,50.84
Agent_1512983,Fashion,11.09
Agent_1799172,Fashion,6.92
Agent_1286199,Auto & Accessories,21.30
Agent_117332,Electronics,5.12
Agent_1775283,Auto & Accessories,72.63
Agent_2289980,Auto & Accessories,53.98
Agent_1967671,Home & Furniture,84.87
Agent_1341093,Electronics,48.95
Agent_2387425,Fashion,95.93
Agent_1888218,Home & Furniture,76.77
Agent_2288445,Fashion,59.90
Agent_222715,Home & Furniture,92.14
Agent_630136,Electronics,16.48
Agent_949995,Home & Furniture,16.52
Agent_1308695,Auto & Accessories,54.90
Agent_1424713,Electronics,31.61
Agent_2254444,Home & Furniture,70.52
Agent_762418,Electronics,31.70
Agent_715143,Auto & Accessories,34.93
Agent_26530,Fashion,99.03
Agent_139759,Auto & Accessories,53.06
Agent_804500,Electronics,40.18
Agent_1769118,Home & Furniture,16.73
Agent_1098264,Home & Furniture,77.44
Agent_644832,Auto & Accessories,58.64
Agent_509687,Auto & Accessories,95.91
Agent_420843,Auto & Accessories,82.93
Agent_2156578,Electronics,45.38
Agent_88985,Electronics,69.26
Agent_2278519,Fashion,4.26
Agent_921293,Home & Furniture,79.24
Agent_1342054,Electronics,76.11
Agent_50477,Auto & Accessories,67.11
Agent_322988,Fashion,70.68
Agent_2272706,Auto & Accessories,59.45
Agent_1955289,Home & Furniture,98.09
Agent_540781,Electronics,26.95
Agent_263569,Electronics,79.89
Agent_1813739,Electronics,77.55
Agent_610916,Electronics,74.87
Agent_1215572,Home & Furniture,88.00
Agent_2287055,Auto & Accessories,66.73
Agent_132052,Electronics,13.18
Agent_742904,Auto & Accessories,30.22
Agent_2194693,Electronics,83.72
Agent_560464,Electronics,76.93
Agent_131454,Auto & Accessories,18.63
Agent_1095451,Fashion,26.59
Agent_645041,Auto & Accessories,1.13
Agent_1430150,Home & Furniture,49.42
Agent_1523102,Home & Furniture,53.17
Agent_552724,Fashion,51.30
Agent_1394169,Auto & Accessories,85.43
Agent_1683284,Electronics,9.90
Agent_399465,Home & Furniture,1.88
Agent_1628656,Fashion,77.54
Agent_474147,Home & Furniture,52.28
Agent_1034329,Home & Furniture,80.92
Agent_682412,Fashion,66.41
Agent_1955929,Fashion,79.06
Agent_1101510,Electronics,42.09
Agent_1336674,Electronics,29.63
Agent_39681,Fashion,64.50
Agent_690116,Auto & Accessories,17.06
Agent_825617,Electronics,23.34
Agent_1521298,Auto & Accessories,38.25
Agent_50630,Fashion,17.52
Agent_2141942,Electronics,6.79
Agent_592185,Fashion,43.70
Agent_2376944,Fashion,63.36
Agent_1055531,Auto & Accessories,38.26
Agent_1871776,Electronics,94.51
Agent_677064,Electronics,67.38
Agent_943099,Auto & Accessories,96.23
Agent_1488578,Electronics,68.41
Agent_76114,Fashion,32.95
Agent_426724,Auto & Accessories,78.31
Agent_767690,Home & Furniture,15.06
Agent_1419051,Auto & Accessories,2.20
Agent_501033,Electronics,27.27
Agent_2225199,Home & Furniture,18.87
Agent_2305743,Home & Furniture,60.59
Agent_2115377,Electronics,66.81
Agent_1929861,Fashion,68.89
Agent_2065933,Auto & Accessories,83.84
Agent_2102208,Electronics,27.26
Agent_242347,Auto & Accessories,13.32
Agent_787143,Electronics,12.28
Agent_1982841,Auto & Accessories,61.51
Agent_861034,Electronics,99.45
Agent_242601,Home & Furniture,45.78
Agent_117530,Electronics,95.85
Agent_2150012,Electronics,7.79
Agent_2155593,Electronics,4.37
Agent_310285,Home & Furniture,75.16
Agent_610306,Electronics,90.27
Agent_797156,Electronics,83.33
Agent_200950,Fashion,6.33
Agent_2005200,Auto & Accessories,74.16
Agent_834706,Electronics,54.57
Agent_241082,Home & Furniture,69.07
Agent_1689453,Auto & Accessories,37.40
Agent_1959252,Electronics,23.88
Agent_424916,Home & Furniture,56.06
Agent_2251638,Electronics,33.91
Agent_28772,Home & Furniture,57.10
Agent_2140064,Home & Furniture,14.33
Agent_2013586,Electronics,82.27
Agent_196969,Electronics,93.98
Agent_1808194,Fashion,87.52
Agent_1810103,Home & Furniture,7.35
Agent_1885747,Auto & Accessories,24.02
Agent_1199950,Auto & Accessories,40.62
Agent_1497840,Fashion,82.26
Agent_1264538,Auto & Accessories,59.30
Agent_2126242,Home & Furniture,86.35
Agent_1982626,Home & Furniture,43.31
Agent_69274,Auto & Accessories,69.69
Agent_2289039,Fashion,73.46
Agent_1388032,Auto & Accessories,5.22
Agent_1487297,Fashion,99.09
Agent_2265625,Fashion,47.54
Agent_495340,Home & Furniture,17.44
Agent_1989849,Electronics,56.44
Agent_369760,Auto & Accessories,36.64
Agent_2213906,Fashion,52.63
Agent_1949115,Electronics,69.24
Agent_2365981,Electronics,65.76
Agent_1757607,Fashion,82.66
Agent_1167715,Home & Furniture,57.64
Agent_845219,Electronics,84.67
Agent_92800,Fashion,53.82
Agent_1647062,Fashion,10.32
Agent_57739,Home & Furniture,5.70
Agent_551599,Auto & Accessories,30.15
Agent_2056843,Home & Furniture,54.46
Agent_557534,Auto & Accessories,19.09
Agent_2064485,Fashion,15.78
Agent_2336985,Auto & Accessories,26.49
Agent_1309364,Fashion,96.53
Agent_2065493,Electronics,64.49
Agent_203521,Fashion,92.90
Agent_588357,Home & Furniture,37.24
Agent_1779090,Fashion,34.05
Agent_2050735,Home & Furniture,54.64
Agent_191243,Home & Furniture,17.03
Agent_1719944,Electronics,76.93
Agent_1313742,Auto & Accessories,1.53
Agent_2091544,Electronics,22.60
Agent_1323482,Fashion,65.66
Agent_58064,Fashion,39.08
Agent_755772,Home & Furniture,88.32
Agent_2337460,Electronics,52.87
Agent_1694654,Auto & Accessories,86.21
Agent_327494,Electronics,30.66
Agent_510550,Auto & Accessories,33.02
Agent_535757,Auto & Accessories,73.13
Agent_1329696,Fashion,2.29
Agent_693569,Electronics,15.27
Agent_1506769,Fashion,28.46
Agent_236604,Auto & Accessories,40.75
Agent_1352408,Auto & Accessories,96.74
Agent_854636,Electronics,76.70
Agent_644172,Home & Furniture,5.75
Agent_2079294,Home & Furniture,94.60
Agent_1674493,Fashion,31.68
Agent_1129426,Auto & Accessories,51.32
Agent_925727,Home & Furniture,53.83
Agent_1154289,Home & Furniture,36.37
Agent_2227456,Fashion,69.37
Agent_699547,Auto & Accessories,75.50
Agent_1296996,Electronics,92.61
Agent_72378,Home & Furniture,13.21
Agent_1956398,Auto & Accessories,21.44
Agent_476970,Electronics,42.24
Agent_622620,Auto & Accessories,74.40
Agent_1588777,Electronics,46.85
Agent_290904,Electronics,57.17
Agent_517639,Home & Furniture,22.42
Agent_2295409,Fashion,64.52
Agent_1283118,Auto & Accessories,47.53
Agent_1104684,Electronics,70.12
Agent_2344475,Electronics,68.34
Agent_2337169,Auto & Accessories,91.25
Agent_709727,Auto & Accessories,39.43
Agent_1298302,Fashion,61.79
Agent_2037371,Electronics,2.97
Agent_1668020,Auto & Accessories,64.26
Agent_1552496,Home & Furniture,15.76
Agent_1220000,Electronics,24.27
Agent_672734,Fashion,45.68
Agent_1873060,Auto & Accessories,63.85
Agent_1375441,Home & Furniture,47.50
Agent_141772,Home & Furniture,89.46
Agent_1759998,Home & Furniture,77.64
Agent_1582506,Electronics,45.04
Agent_579697,Home & Furniture,77.60
Agent_80678,Auto & Accessories,88.10
Agent_1380048,Electronics,69.32
Agent_1525188,Fashion,12.40
Agent_1432207,Auto & Accessories,78.03
Agent_2307359,Fashion,30.87
Agent_456276,Auto & Accessories,54.91
Agent_456824,Home & Furniture,31.27
Agent_1287772,Auto & Accessories,60.69
Agent_709264,Fashion,75.72
Agent_212215,Electronics,25.69
Agent_1100542,Auto & Accessories,48.23
Agent_999476,Electronics,82.46
Agent_2084699,Home & Furniture,47.39
Agent_90713,Auto & Accessories,34.82
Agent_1970941,Home & Furniture,45.56
Agent_961945,Electronics,6.07
Agent_209414,Home & Furniture,38.21
Agent_2325403,Fashion,37.33
Agent_2147574,Auto & Accessories,56.36
Agent_1653532,Auto & Accessories,32.42
Agent_473578,Fashion,2.62
Agent_61086,Home & Furniture,58.82
Agent_379992,Auto & Accessories,75.32
Agent_1277358,Electronics,61.53
Agent_1981463,Auto & Accessories,3.40
Agent_1214018,Auto & Accessories,57.35
Agent_1742285,Auto & Accessories,8.95
Agent_1339964,Fashion,31.85
Agent_1809854,Fashion,73.69
Agent_598182,Auto & Accessories,34.77
Agent_758843,Auto & Accessories,66.06
Agent_1852967,Auto & Accessories,38.64
Agent_1023456,Auto & Accessories,69.99
Agent_1922856,Home & Furniture,65.47
Agent_351989,Home & Furniture,85.51
Agent_2029497,Fashion,62.77
Agent_1272000,Fashion,92.90
Agent_1847764,Fashion,94.50
Agent_2338795,Fashion,4.67
Agent_823463,Electronics,98.79
Agent_2387271,Electronics,49.33
Agent_618645,Auto & Accessories,26.83
Agent_589298,Home & Furniture,71.67
Agent_1603372,Home & Furniture,88.69
Agent_328555,Electronics,97.36
Agent_405459,Home & Furniture,42.57
Agent_616536,Home & Furniture,78.22
Agent_2180203,Home & Furniture,39.87
Agent_904691,Auto & Accessories,58.93
Agent_1633193,Electronics,21.43
Agent_172522,Auto & Accessories,76.86
Agent_1722256,Electronics,51.66
Agent_2335384,Auto & Accessories,16.43
Agent_1745723,Home & Furniture,94.40
Agent_1160674,Electronics,47.76
Agent_340477,Fashion,83.25
Agent_1873668,Electronics,56.10
Agent_783190,Electronics,82.73
Agent_1942793,Electronics,88.05
Agent_77493,Auto & Accessories,47.35
Agent_1418604,Auto & Accessories,68.76
Agent_735393,Auto & Accessories,3.22
Agent_466513,Fashion,25.11
Agent_750163,Electronics,52.55
Agent_1136515,Auto & Accessories,94.54
Agent_751403,Auto & Accessories,12.14
Agent_1988288,Fashion,88.07
Agent_2395620,Auto & Accessories,2.40
Agent_215533,Fashion,34.97
Agent_1833810,Electronics,26.08
Agent_1378916,Home & Furniture,63.95
Agent_126295,Home & Furniture,48.04
Agent_711832,Home & Furniture,13.26
Agent_438402,Auto & Accessories,79.70
Agent_1101489,Home & Furniture,37.69
Agent_1387387,Auto & Accessories,32.15
Agent_637282,Auto & Accessories,6.05
Agent_1007979,Auto & Accessories,43.45
Agent_1542256,Electronics,69.57
Agent_1738124,Home & Furniture,72.13
Agent_433698,Fashion,12.02
Agent_2236481,Home & Furniture,17.34
Agent_1245523,Auto & Accessories,4.52
Agent_1973417,Auto & Accessories,84.26
Agent_2245410,Electronics,2.95
Agent_1837388,Auto & Accessories,5.09
Agent_92690,Auto & Accessories,66.89
Agent_1124849,Home & Furniture,48.63
Agent_363433,Electronics,66.63
Agent_1632542,Electronics,68.14
Agent_903865,Home & Furniture,80.52
Agent_1860302,Auto & Accessories,11.01
Agent_1151926,Fashion,6.53
Agent_998019,Fashion,68.12
Agent_183971,Electronics,31.30
Agent_1357344,Fashion,8.02
Agent_2199430,Electronics,64.40
Agent_2354691,Electronics,17.36
Agent_1206499,Home & Furniture,73.85
Agent_729456,Auto & Accessories,92.36
Agent_2326303,Fashion,30.56
Agent_499160,Home & Furniture,98.28
Agent_584421,Home & Furniture,56.19
Agent_1987801,Electronics,78.82
Agent_1813341,Fashion,9.45
Agent_2265310,Fashion,84.18
Agent_2323622,Fashion,21.75
Agent_745923,Fashion,34.36
Agent_734945,Auto & Accessories,91.13
Agent_1396525,Auto & Accessories,37.75
Agent_432414,Auto & Accessories,94.01
Agent_952917,Auto & Accessories,12.95
Agent_377480,Fashion,15.45
Agent_1908260,Electronics,42.44
Agent_849440,Auto & Accessories,66.50
Agent_1664934,Home & Furniture,82.57
Agent_1843730,Electronics,4.93
Agent_1022860,Auto & Accessories,74.69
Agent_1759702,Auto & Accessories,49.61
Agent_138137,Fashion,71.78
Agent_603751,Auto & Accessories,58.11
Agent_1793895,Fashion,88.64
Agent_111030,Fashion,91.32
Agent_1732652,Electronics,66.94
Agent_874417,Fashion,47.91
Agent_2168581,Auto & Accessories,46.35
Agent_1890754,Auto & Accessories,16.74
Agent_592878,Auto & Accessories,59.07
Agent_686182,Home & Furniture,21.66
Agent_238019,Fashion,80.44
Agent_853570,Home & Furniture,14.94
Agent_879846,Auto & Accessories,71.05
Agent_2371247,Fashion,55.91
Agent_153101,Home & Furniture,33.71
Agent_1755913,Home & Furniture,24.66
Agent_2182292,Fashion,58.36
Agent_344053,Electronics,81.56
Agent_1635277,Home & Furniture,71.03
Agent_165560,Home & Furniture,21.96
Agent_1466978,Home & Furniture,31.06
Agent_150879,Electronics,55.35
Agent_1618998,Home & Furniture,55.55
Agent_362621,Auto & Accessories,39.85
Agent_1837815,Electronics,19.27
Agent_1670757,Electronics,11.59
Agent_437956,Fashion,31.96
Agent_250253,Auto & Accessories,51.32
Agent_239055,Auto & Accessories,83.09
Agent_2252524,Electronics,77.26
Agent_1126087,Electronics,15.33
Agent_2004065,Fashion,87.97
Agent_479695,Electronics,60.80
Agent_1397952,Electronics,32.34
Agent_455443,Auto & Accessories,6.57
Agent_2401966,Fashion,2.26
Agent_1228912,Auto & Accessories,20.61
Agent_742936,Home & Furniture,20.62
Agent_1805474,Fashion,83.86
Agent_1627834,Auto & Accessories,92.96
Agent_2031550,Auto & Accessories,27.57
Agent_1937250,Electronics,68.37
Agent_877619,Electronics,8.36
Agent_1796456,Fashion,74.30
Agent_519196,Fashion,95.43
Agent_1281454,Auto & Accessories,46.66
Agent_1590355,Electronics,11.51
Agent_2062869,Home & Furniture,48.20
Agent_1571394,Home & Furniture,60.25
Agent_1717418,Electronics,9.45
Agent_1535501,Electronics,40.22
Agent_491336,Home & Furniture,87.21
Agent_1573887,Home & Furniture,11.75
Agent_1802130,Electronics,1.10
Agent_1818732,Auto & Accessories,28.98
Agent_666234,Fashion,76.45
Agent_703487,Home & Furniture,88.68
Agent_1532932,Fashion,76.06
Agent_1678937,Fashion,7.64
Agent_555843,Auto & Accessories,60.01
Agent_582437,Fashion,97.49
Agent_1027169,Electronics,40.78
Agent_2317461,Fashion,56.53
Agent_412041,Auto & Accessories,51.82
Agent_2232272,Auto & Accessories,7.53
Agent_1521262,Home & Furniture,65.24
Agent_102772,Home & Furniture,41.98
Agent_1561278,Electronics,1.04
Agent_1347614,Home & Furniture,6.54
Agent_1546183,Home & Furniture,23.03
Agent_729473,Fashion,26.54
Agent_2259730,Home & Furniture,33.47
Agent_2087860,Home & Furniture,67.96
Agent_1453109,Fashion,86.57
Agent_927380,Home & Furniture,7.27
Agent_2028460,Electronics,56.81
Agent_2341348,Auto & Accessories,88.84
Agent_821192,Auto & Accessories,7.05
Agent_2383938,Fashion,84.73
Agent_943236,Fashion,53.12
Agent_711018,Home & Furniture,50.34
Agent_1521078,Auto & Accessories,99.76
Agent_2100867,Fashion,25.68
Agent_29013,Home & Furniture,97.86
Agent_1409920,Electronics,54.51
Agent_867127,Electronics,59.35
Agent_802572,Fashion,8.21
Agent_78810,Fashion,89.00
Agent_2071879,Auto & Accessories,11.76
Agent_457901,Electronics,44.85
Agent_1642562,Auto & Accessories,17.81
Agent_1942727,Auto & Accessories,83.74
Agent_1860514,Auto & Accessories,69.42
Agent_237714,Home & Furniture,7.80
Agent_2027121,Home & Furniture,25.60
Agent_2363965,Home & Furniture,49.43
Agent_581104,Fashion,52.01
Agent_881425,Home & Furniture,82.56
Agent_52723,Electronics,46.39
Agent_1721610,Fashion,58.27
Agent_141653,Home & Furniture,27.31
Agent_1926509,Electronics,73.27
Agent_425689,Home & Furniture,85.92
Agent_1753787,Auto & Accessories,67.49
Agent_1692459,Fashion,76.43
Agent_817242,Fashion,22.73
Agent_1811644,Home & Furniture,12.62
Agent_1457875,Home & Furniture,98.16
Agent_7798,Home & Furniture,59.07
Agent_1396667,Home & Furniture,62.52
Agent_1496156,Home & Furniture,64.80
Agent_308852,Home & Furniture,52.29
Agent_449173,Fashion,5.15
Agent_2313524,Electronics,46.16
Agent_2364422,Home & Furniture,92.77
Agent_1206050,Electronics,61.00
Agent_1376886,Fashion,3.95
Agent_1629426,Fashion,93.06
Agent_2269844,Home & Furniture,94.78
Agent_1344827,Fashion,86.81
Agent_2252333,Fashion,66.18
Agent_800898,Electronics,88.28
Agent_1079600,Home & Furniture,12.21
Agent_1497941,Electronics,29.07
Agent_2272290,Auto & Accessories,11.58
Agent_1929091,Auto & Accessories,32.26
Agent_2297422,Home & Furniture,42.92
Agent_367582,Fashion,26.36
Agent_2178307,Electronics,71.56
Agent_1687939,Electronics,38.70
Agent_208803,Auto & Accessories,49.56
Agent_2023492,Home & Furniture,28.08
Agent_1864099,Electronics,7.97
Agent_205560,Home & Furniture,89.60
Agent_2251058,Auto & Accessories,23.47
Agent_499231,Fashion,34.53
Agent_1714502,Electronics,62.63
Agent_2127747,Auto & Accessories,97.67
Agent_1108506,Electronics,18.94
Agent_1555227,Auto & Accessories,18.28
Agent_547016,Fashion,76.73
Agent_1416347,Fashion,82.31
Agent_901469,Fashion,77.45
Agent_2162856,Auto & Accessories,89.40
Agent_1502621,Electronics,33.17
Agent_1807641,Fashion,36.45
Agent_1314068,Electronics,82.18
Agent_1789483,Auto & Accessories,28.90
Agent_1132907,Electronics,55.88
Agent_1833714,Home & Furniture,34.95
Agent_648814,Electronics,58.59
Agent_1021485,Fashion,81.44
Agent_680729,Home & Furniture,76.03
Agent_750566,Electronics,52.57
Agent_2383831,Electronics,62.74
Agent_1153800,Electronics,80.26
Agent_2178581,Electronics,72.94
Agent_1942622,Home & Furniture,65.94
Agent_893160,Electronics,73.25
Agent_2140634,Fashion,2.61
Agent_1597469,Electronics,4.49
Agent_1897156,Auto & Accessories,26.23
Agent_90749,Home & Furniture,66.21
Agent_2259168,Auto & Accessories,90.60
Agent_1045269,Home & Furniture,17.15
Agent_156708,Electronics,3.68
Agent_247198,Fashion,40.25
Agent_768570,Fashion,97.60
Agent_1375492,Fashion,35.36
Agent_1742029,Fashion,28.64
Agent_652305,Fashion,15.93
Agent_1994707,Home & Furniture,8.18
Agent_2010348,Fashion,35.94
Agent_681785,Auto & Accessories,22.33
Agent_1729975,Home & Furniture,69.04
Agent_859709,Home & Furniture,66.05
Agent_1445876,Fashion,30.04
Agent_604396,Home & Furniture,27.32
Agent_1508762,Electronics,64.12
Agent_1646123,Fashion,52.90
Agent_304367,Electronics,43.61
Agent_1246755,Auto & Accessories,36.57
Agent_169018,Auto & Accessories,9.29
Agent_2213118,Fashion,75.38
Agent_32857,Fashion,5.52
Agent_1572039,Home & Furniture,31.32
Agent_1372421,Home & Furniture,44.16
Agent_1853046,Home & Furniture,53.64
Agent_1712508,Home & Furniture,31.73
Agent_1175034,Home & Furniture,38.34
Agent_841222,Electronics,64.09
Agent_2100961,Electronics,42.82
Agent_588091,Fashion,15.77
Agent_1801596,Electronics,33.83
Agent_253581,Electronics,78.85
Agent_404881,Electronics,66.62
Agent_127776,Auto & Accessories,70.62
Agent_1336490,Electronics,6.99
Agent_1610979,Home & Furniture,73.73
Agent_1628644,Electronics,8.84
Agent_708862,Home & Furniture,13.45
Agent_963653,Electronics,28.97
Agent_393927,Electronics,67.47
Agent_1440512,Auto & Accessories,73.20
Agent_262009,Fashion,95.96
Agent_2399810,Auto & Accessories,59.60
Agent_297371,Auto & Accessories,61.54
Agent_619720,Electronics,97.88
Agent_2224216,Home & Furniture,50.56
Agent_1679744,Electronics,48.11
Agent_1844961,Home & Furniture,22.14
Agent_2295373,Auto & Accessories,87.75
Agent_1128598,Electronics,19.44
Agent_1105397,Fashion,62.83
Agent_726895,Electronics,80.72
Agent_561354,Home & Furniture,90.76
Agent_445554,Fashion,87.97
Agent_2363446,Home & Furniture,20.60
Agent_1661123,Auto & Accessories,80.83
Agent_541882,Fashion,34.15
Agent_591037,Fashion,43.63
Agent_1401346,Auto & Accessories,92.93
Agent_2150625,Electronics,90.43
Agent_1385498,Fashion,68.89
Agent_1306845,Home & Furniture,59.08
Agent_372311,Home & Furniture,79.04
Agent_1692860,Home & Furniture,75.13
Agent_914423,Home & Furniture,40.67
Agent_1546150,Auto & Accessories,15.19
Agent_65770,Home & Furniture,74.69
Agent_1977118,Auto & Accessories,68.15
Agent_1838543,Fashion,42.29
Agent_40347,Home & Furniture,92.83
Agent_1596966,Fashion,75.47
